questionId,trainingId,sopCode,questionNo,question_type,cognitive_level,prompt,optionA,optionB,optionC,optionD,correct_option,rationale,tags
HIS-TRN-IT-001-Q01,HIS-TRN-IT-001,HIS-SOP-IT-001,1,single_choice,understanding,"For HIS-SOP-IT-001 (IT staffing delivery), what is the primary business reason the SOP exists?","Provides consistent IT role intake, technical screening, candidate positioning, rate alignment, and submission governance.","To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",To let managers bypass formal records when urgency is high and document later.,To provide optional reference guidance for IT staffing delivery that teams may adapt without approval.,A,"The SOP exists to support the specific business outcome described for IT staffing delivery, not to create optional paperwork.",purpose;business_value
HIS-TRN-IT-001-Q02,HIS-TRN-IT-001,HIS-SOP-IT-001,2,single_choice,application,"Before screening an IT candidate is treated as ready under HIS-SOP-IT-001, which control is required?","Tech stack, domain fit, seniority, work authorization, availability, rate, resume evidence, and submission narrative must be validated.","Proceed if the candidate/client seems urgent, even if required records are not complete.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",Use the most recent email or chat thread as the only working standard.,A,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-IT-001-Q03,HIS-TRN-IT-001,HIS-SOP-IT-001,3,single_choice,application,Which record best proves HIS-SOP-IT-001 was followed for screening an IT candidate?,A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"Technical screen notes, must-have skill evidence, work authorization handling, rate/availability, and submission narrative.","A generic completion message that does not include evidence, owner, or next step.",C,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-IT-001-Q04,HIS-TRN-IT-001,HIS-SOP-IT-001,4,scenario_single_choice,scenario_application,"Scenario: A candidate lists React and AWS, but cannot explain recent hands-on project work. What is the best response?",Ask the team to handle it informally because the situation is time-sensitive.,Move forward quickly and document the exception only if a problem occurs.,Treat the issue as resolved if a verbal confirmation was received.,Document the gap and avoid positioning the candidate as a strong hands-on match unless evidence supports it.,D,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-IT-001-Q05,HIS-TRN-IT-001,HIS-SOP-IT-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-IT-001?,Believing every completed record should also have a clear owner and due date.,Using the approved system to make handoffs visible to managers and teammates.,Escalating blockers early when required information or approval is missing.,Treating the technical screening and submission governance record as optional when the team is busy or the role is urgent.,D,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-IT-001-Q06,HIS-TRN-IT-001,HIS-SOP-IT-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-IT-001?,Any person can close it without review if the outcome looks positive.,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",IT recruiter validates facts; senior/manager reviews complex technical fit or rate risk.,D,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-IT-001-Q07,HIS-TRN-IT-001,HIS-SOP-IT-001,7,scenario_single_choice,scenario_application,"Scenario: A client requires onsite work in California, but the candidate is remote-only. What should happen next?",Let the person who discovered the issue decide without involving the required owner or workflow.,Continue using the old information because changing records mid-process creates extra work.,Keep the issue in a private note until the final outcome is known.,Do not submit as aligned; clarify flexibility or route the candidate to a better-fit role.,D,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-IT-001-Q08,HIS-TRN-IT-001,HIS-SOP-IT-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-IT-001 is working after rollout?,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","Better technical fit, fewer weak resumes, and improved submission-to-interview conversion.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",C,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-ENG-001-Q01,HIS-TRN-ENG-001,HIS-SOP-ENG-001,1,single_choice,understanding,"For HIS-SOP-ENG-001 (engineering/professional services delivery), what is the primary business reason the SOP exists?","To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",To let managers bypass formal records when urgency is high and document later.,"Extends delivery discipline beyond healthcare and IT into engineering, professional services, finance, admin, operations, and other specialized roles.",To provide optional reference guidance for engineering/professional services delivery that teams may adapt without approval.,C,"The SOP exists to support the specific business outcome described for engineering/professional services delivery, not to create optional paperwork.",purpose;business_value
HIS-TRN-ENG-001-Q02,HIS-TRN-ENG-001,HIS-SOP-ENG-001,2,single_choice,application,"Before working non-healthcare and non-IT professional roles is treated as ready under HIS-SOP-ENG-001, which control is required?","Vertical context, must-haves, licenses/certs/portfolio needs, professional evidence, and role-specific screening must be captured.",Use the most recent email or chat thread as the only working standard.,"Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.",A,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-ENG-001-Q03,HIS-TRN-ENG-001,HIS-SOP-ENG-001,3,single_choice,application,Which record best proves HIS-SOP-ENG-001 was followed for working non-healthcare and non-IT professional roles?,"Vertical context notes, qualification evidence, required credential/portfolio status, and screening summary.",A verbal update in the daily standup with no system entry.,"A generic completion message that does not include evidence, owner, or next step.",A personal note or spreadsheet maintained by one team member only.,A,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-ENG-001-Q04,HIS-TRN-ENG-001,HIS-SOP-ENG-001,4,scenario_single_choice,scenario_application,Scenario: A recruiter treats a finance operations role like a generic admin role and ignores domain experience. What is the best response?,Move forward quickly and document the exception only if a problem occurs.,Revisit the vertical context and screen for role-specific evidence before sourcing or submission.,Treat the issue as resolved if a verbal confirmation was received.,Ask the team to handle it informally because the situation is time-sensitive.,B,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-ENG-001-Q05,HIS-TRN-ENG-001,HIS-SOP-ENG-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-ENG-001?,Believing every completed record should also have a clear owner and due date.,Using the approved system to make handoffs visible to managers and teammates.,Escalating blockers early when required information or approval is missing.,Treating the vertical delivery evidence record as optional when the team is busy or the role is urgent.,D,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-ENG-001-Q06,HIS-TRN-ENG-001,HIS-SOP-ENG-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-ENG-001?,Any person can close it without review if the outcome looks positive.,No assigned owner is needed if the team discusses it in a meeting.,Recruiter validates domain evidence; manager confirms vertical-specific delivery standard.,"Only the newest team member working the task, because they are closest to the work.",C,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-ENG-001-Q07,HIS-TRN-ENG-001,HIS-SOP-ENG-001,7,scenario_single_choice,scenario_application,"Scenario: An engineering role requires a license/portfolio, but the candidate only provided a generic resume. What should happen next?",Let the person who discovered the issue decide without involving the required owner or workflow.,Keep the issue in a private note until the final outcome is known.,Request the required evidence or mark the candidate not submission-ready.,Continue using the old information because changing records mid-process creates extra work.,C,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-ENG-001-Q08,HIS-TRN-ENG-001,HIS-SOP-ENG-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-ENG-001 is working after rollout?,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",Consistent delivery standards across Engineering and Professional Services roles.,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",B,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-SALES-001-Q01,HIS-TRN-SALES-001,HIS-SOP-SALES-001,1,single_choice,understanding,"For HIS-SOP-SALES-001 (client/MSP/VMS and rate governance), what is the primary business reason the SOP exists?","Controls client communication, MSP/VMS rules, rate/margin decisions, escalations, submission formats, and feedback loops.","To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",To provide optional reference guidance for client/MSP/VMS and rate governance that teams may adapt without approval.,To let managers bypass formal records when urgency is high and document later.,A,"The SOP exists to support the specific business outcome described for client/MSP/VMS and rate governance, not to create optional paperwork.",purpose;business_value
HIS-TRN-SALES-001-Q02,HIS-TRN-SALES-001,HIS-SOP-SALES-001,2,single_choice,application,"Before managing client or MSP/VMS requirements is treated as ready under HIS-SOP-SALES-001, which control is required?","Client requirements, MSP/VMS rules, rate/margin guardrails, authorized communication channel, escalation path, and feedback loop must be documented.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,A,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-SALES-001-Q03,HIS-TRN-SALES-001,HIS-SOP-SALES-001,3,single_choice,application,Which record best proves HIS-SOP-SALES-001 was followed for managing client or MSP/VMS requirements?,A verbal update in the daily standup with no system entry.,"Client requirement notes, VMS rules, rate/margin approval, communication channel, escalation log, and feedback history.",A personal note or spreadsheet maintained by one team member only.,"A generic completion message that does not include evidence, owner, or next step.",B,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-SALES-001-Q04,HIS-TRN-SALES-001,HIS-SOP-SALES-001,4,scenario_single_choice,scenario_application,Scenario: A recruiter wants to contact a client hiring manager directly although the MSP requires all communication through VMS. What is the best response?,Treat the issue as resolved if a verbal confirmation was received.,Follow MSP/VMS communication rules and escalate through the approved account channel.,Ask the team to handle it informally because the situation is time-sensitive.,Move forward quickly and document the exception only if a problem occurs.,B,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-SALES-001-Q05,HIS-TRN-SALES-001,HIS-SOP-SALES-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-SALES-001?,Believing every completed record should also have a clear owner and due date.,Using the approved system to make handoffs visible to managers and teammates.,Escalating blockers early when required information or approval is missing.,Treating the client communication and rate governance record as optional when the team is busy or the role is urgent.,D,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-SALES-001-Q06,HIS-TRN-SALES-001,HIS-SOP-SALES-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-SALES-001?,AM/Sales owns client/rate governance; delivery manager aligns recruiters.,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",Any person can close it without review if the outcome looks positive.,A,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-SALES-001-Q07,HIS-TRN-SALES-001,HIS-SOP-SALES-001,7,scenario_single_choice,scenario_application,Scenario: A client asks for a lower bill rate that may break margin. What should happen next?,Let the person who discovered the issue decide without involving the required owner or workflow.,Keep the issue in a private note until the final outcome is known.,Route the exception for approval and document the rate decision before committing.,Continue using the old information because changing records mid-process creates extra work.,C,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-SALES-001-Q08,HIS-TRN-SALES-001,HIS-SOP-SALES-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-SALES-001 is working after rollout?,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",100% rate/margin exceptions documented and fewer client communication gaps.,D,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-BD-001-Q01,HIS-TRN-BD-001,HIS-SOP-BD-001,1,single_choice,understanding,"For HIS-SOP-BD-001 (business development and onboarding), what is the primary business reason the SOP exists?","To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.","Standardizes how Hire'in prospects new clients, qualifies opportunities, prepares proposals/RFPs, and hands new accounts to delivery.",To let managers bypass formal records when urgency is high and document later.,To provide optional reference guidance for business development and onboarding that teams may adapt without approval.,B,"The SOP exists to support the specific business outcome described for business development and onboarding, not to create optional paperwork.",purpose;business_value
HIS-TRN-BD-001-Q02,HIS-TRN-BD-001,HIS-SOP-BD-001,2,single_choice,application,"Before bringing in a new client opportunity is treated as ready under HIS-SOP-BD-001, which control is required?","Proceed if the candidate/client seems urgent, even if required records are not complete.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Prospect qualification, discovery, needs, proposal/RFP approval, commercial terms, and delivery handoff must be structured.",Use the most recent email or chat thread as the only working standard.,C,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-BD-001-Q03,HIS-TRN-BD-001,HIS-SOP-BD-001,3,single_choice,application,Which record best proves HIS-SOP-BD-001 was followed for bringing in a new client opportunity?,"A generic completion message that does not include evidence, owner, or next step.","Prospect profile, discovery notes, proposal/RFP status, approved terms, client onboarding checklist, and handoff notes.",A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,B,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-BD-001-Q04,HIS-TRN-BD-001,HIS-SOP-BD-001,4,scenario_single_choice,scenario_application,Scenario: A prospect asks for immediate candidate profiles before terms or requirement details are confirmed. What is the best response?,"Complete discovery, confirm commercial path/terms, and align delivery handoff before sending profiles.",Ask the team to handle it informally because the situation is time-sensitive.,Treat the issue as resolved if a verbal confirmation was received.,Move forward quickly and document the exception only if a problem occurs.,A,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-BD-001-Q05,HIS-TRN-BD-001,HIS-SOP-BD-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-BD-001?,Treating the BD opportunity and client onboarding record as optional when the team is busy or the role is urgent.,Believing every completed record should also have a clear owner and due date.,Escalating blockers early when required information or approval is missing.,Using the approved system to make handoffs visible to managers and teammates.,A,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-BD-001-Q06,HIS-TRN-BD-001,HIS-SOP-BD-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-BD-001?,BD/Sales owns prospecting and proposal; AM/Delivery owns handoff to execution.,Any person can close it without review if the outcome looks positive.,"Only the newest team member working the task, because they are closest to the work.",No assigned owner is needed if the team discusses it in a meeting.,A,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-BD-001-Q07,HIS-TRN-BD-001,HIS-SOP-BD-001,7,scenario_single_choice,scenario_application,Scenario: A proposal promises 24-hour turnaround without delivery validation. What should happen next?,Continue using the old information because changing records mid-process creates extra work.,Keep the issue in a private note until the final outcome is known.,Validate delivery capacity and approval before committing the SLA in writing.,Let the person who discovered the issue decide without involving the required owner or workflow.,C,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-BD-001-Q08,HIS-TRN-BD-001,HIS-SOP-BD-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-BD-001 is working after rollout?,"The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",More qualified opportunities and smoother client onboarding to delivery.,D,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-MKT-001-Q01,HIS-TRN-MKT-001,HIS-SOP-MKT-001,1,single_choice,understanding,"For HIS-SOP-MKT-001 (marketing and lead generation), what is the primary business reason the SOP exists?",To let managers bypass formal records when urgency is high and document later.,To provide optional reference guidance for marketing and lead generation that teams may adapt without approval.,"Turns marketing into a delivery accelerator by standardizing brand voice, candidate attraction, client credibility, insights, content approvals, and lead generation.","To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",C,"The SOP exists to support the specific business outcome described for marketing and lead generation, not to create optional paperwork.",purpose;business_value
HIS-TRN-MKT-001-Q02,HIS-TRN-MKT-001,HIS-SOP-MKT-001,2,single_choice,application,"Before publishing staffing content or campaigns is treated as ready under HIS-SOP-MKT-001, which control is required?","Audience, message, claim basis, CTA, review/approval, publishing calendar, and lead routing must be documented.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,A,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-MKT-001-Q03,HIS-TRN-MKT-001,HIS-SOP-MKT-001,3,single_choice,application,Which record best proves HIS-SOP-MKT-001 was followed for publishing staffing content or campaigns?,A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"A generic completion message that does not include evidence, owner, or next step.","Content brief, source/claim basis, approval status, CTA, publishing date, campaign owner, and lead handoff.",D,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-MKT-001-Q04,HIS-TRN-MKT-001,HIS-SOP-MKT-001,4,scenario_single_choice,scenario_application,Scenario: A post claims Hire’in fills roles in hours without evidence or approval. What is the best response?,Ask the team to handle it informally because the situation is time-sensitive.,Treat the issue as resolved if a verbal confirmation was received.,Revise the claim to evidence-supported language and route it through the content approval workflow.,Move forward quickly and document the exception only if a problem occurs.,C,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-MKT-001-Q05,HIS-TRN-MKT-001,HIS-SOP-MKT-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-MKT-001?,Escalating blockers early when required information or approval is missing.,Treating the content approval and lead-generation record as optional when the team is busy or the role is urgent.,Believing every completed record should also have a clear owner and due date.,Using the approved system to make handoffs visible to managers and teammates.,B,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-MKT-001-Q06,HIS-TRN-MKT-001,HIS-SOP-MKT-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-MKT-001?,"Only the newest team member working the task, because they are closest to the work.",Marketing drafts; reviewer/CMO/CEO approves claims and publishing where required.,Any person can close it without review if the outcome looks positive.,No assigned owner is needed if the team discusses it in a meeting.,B,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-MKT-001-Q07,HIS-TRN-MKT-001,HIS-SOP-MKT-001,7,scenario_single_choice,scenario_application,Scenario: A LinkedIn campaign generates leads but no one owns follow-up. What should happen next?,Continue using the old information because changing records mid-process creates extra work.,Assign lead ownership and route leads to BD/Sales with follow-up status tracked.,Keep the issue in a private note until the final outcome is known.,Let the person who discovered the issue decide without involving the required owner or workflow.,B,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-MKT-001-Q08,HIS-TRN-MKT-001,HIS-SOP-MKT-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-MKT-001 is working after rollout?,"Consistent brand voice, approved claims, and trackable leads from content.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",A,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-CX-001-Q01,HIS-TRN-CX-001,HIS-SOP-CX-001,1,single_choice,understanding,"For HIS-SOP-CX-001 (candidate experience), what is the primary business reason the SOP exists?",To let managers bypass formal records when urgency is high and document later.,"To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",To provide optional reference guidance for candidate experience that teams may adapt without approval.,"Makes candidate communication, rejection handling, interview prep, placement follow-up, re-engagement, and referrals consistent.",D,"The SOP exists to support the specific business outcome described for candidate experience, not to create optional paperwork.",purpose;business_value
HIS-TRN-CX-001-Q02,HIS-TRN-CX-001,HIS-SOP-CX-001,2,single_choice,application,"Before communicating with candidates across the lifecycle is treated as ready under HIS-SOP-CX-001, which control is required?","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,"Role explanation, next steps, communication log, follow-up date, rejection/feedback handling, and re-engagement plan must be maintained.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",C,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-CX-001-Q03,HIS-TRN-CX-001,HIS-SOP-CX-001,3,single_choice,application,Which record best proves HIS-SOP-CX-001 was followed for communicating with candidates across the lifecycle?,"Candidate communication notes, next step, SLA status, rejection/dropout reason, re-engagement tag, and follow-up date.","A generic completion message that does not include evidence, owner, or next step.",A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,A,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-CX-001-Q04,HIS-TRN-CX-001,HIS-SOP-CX-001,4,scenario_single_choice,scenario_application,Scenario: A candidate interviewed but has not received an update for several days. What is the best response?,Move forward quickly and document the exception only if a problem occurs.,"Send a professional status update, document the communication, and escalate delayed client feedback if needed.",Treat the issue as resolved if a verbal confirmation was received.,Ask the team to handle it informally because the situation is time-sensitive.,B,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-CX-001-Q05,HIS-TRN-CX-001,HIS-SOP-CX-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-CX-001?,Escalating blockers early when required information or approval is missing.,Using the approved system to make handoffs visible to managers and teammates.,Believing every completed record should also have a clear owner and due date.,Treating the candidate communication and re-engagement record as optional when the team is busy or the role is urgent.,D,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-CX-001-Q06,HIS-TRN-CX-001,HIS-SOP-CX-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-CX-001?,"Only the newest team member working the task, because they are closest to the work.",Any person can close it without review if the outcome looks positive.,No assigned owner is needed if the team discusses it in a meeting.,Recruiter owns candidate communication; lead/manager audits SLA and quality.,D,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-CX-001-Q07,HIS-TRN-CX-001,HIS-SOP-CX-001,7,scenario_single_choice,scenario_application,Scenario: A candidate is rejected but is strong for future roles. What should happen next?,Continue using the old information because changing records mid-process creates extra work.,Let the person who discovered the issue decide without involving the required owner or workflow.,Keep the issue in a private note until the final outcome is known.,"Communicate respectfully, document the reason, and tag for re-engagement with future-fit notes.",D,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-CX-001-Q08,HIS-TRN-CX-001,HIS-SOP-CX-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-CX-001 is working after rollout?,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",90%+ candidate communication SLA adherence and improved candidate trust/referrals.,D,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
HIS-TRN-PLAT-001-Q01,HIS-TRN-PLAT-001,HIS-SOP-PLAT-001,1,single_choice,understanding,"For HIS-SOP-PLAT-001 (KleriQ and ProKred platform usage), what is the primary business reason the SOP exists?","To focus mainly on activity volume even if records, handoffs, or quality controls are incomplete.",To let managers bypass formal records when urgency is high and document later.,Clarifies how employees should position and use KleriQ and ProKred as separate SaaS platforms used by Hire'in as pilot/design-partner tools.,To provide optional reference guidance for KleriQ and ProKred platform usage that teams may adapt without approval.,C,"The SOP exists to support the specific business outcome described for KleriQ and ProKred platform usage, not to create optional paperwork.",purpose;business_value
HIS-TRN-PLAT-001-Q02,HIS-TRN-PLAT-001,HIS-SOP-PLAT-001,2,single_choice,application,"Before explaining third-party SaaS tools to candidates/team members is treated as ready under HIS-SOP-PLAT-001, which control is required?","Correct platform explanation, candidate consent, approved script, separate SaaS positioning, and no false mandatory/security claims are required.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,A,Readiness requires the module-specific control to be completed and visible in the approved system.,required_control;readiness
HIS-TRN-PLAT-001-Q03,HIS-TRN-PLAT-001,HIS-SOP-PLAT-001,3,single_choice,application,Which record best proves HIS-SOP-PLAT-001 was followed for explaining third-party SaaS tools to candidates/team members?,"A generic completion message that does not include evidence, owner, or next step.",A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"Platform usage note, consent/acknowledgment where applicable, approved script use, and candidate/progress status.",D,"The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation;system_record
HIS-TRN-PLAT-001-Q04,HIS-TRN-PLAT-001,HIS-SOP-PLAT-001,4,scenario_single_choice,scenario_application,Scenario: A recruiter tells a candidate “ProKred is just our internal Hire’in form and you must use it for everything.” What is the best response?,Move forward quickly and document the exception only if a problem occurs.,Correct the explanation: ProKred is a separate candidate-friendly SaaS platform used where appropriate for secure documentation and packet readiness.,Ask the team to handle it informally because the situation is time-sensitive.,Treat the issue as resolved if a verbal confirmation was received.,B,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario;edge_case
HIS-TRN-PLAT-001-Q05,HIS-TRN-PLAT-001,HIS-SOP-PLAT-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-PLAT-001?,Using the approved system to make handoffs visible to managers and teammates.,Treating the approved platform explanation and usage record as optional when the team is busy or the role is urgent.,Escalating blockers early when required information or approval is missing.,Believing every completed record should also have a clear owner and due date.,B,A common failure mode is treating the key artifact/control as optional under pressure; the other options are expected behaviors.,misunderstanding;risk
HIS-TRN-PLAT-001-Q06,HIS-TRN-PLAT-001,HIS-SOP-PLAT-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-PLAT-001?,Any person can close it without review if the outcome looks positive.,Recruiters use approved messaging; management owns positioning and commercial boundaries.,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",B,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership;manager_control
HIS-TRN-PLAT-001-Q07,HIS-TRN-PLAT-001,HIS-SOP-PLAT-001,7,scenario_single_choice,scenario_application,Scenario: A client asks whether KleriQ makes final candidate decisions. What should happen next?,Keep the issue in a private note until the final outcome is known.,Continue using the old information because changing records mid-process creates extra work.,Let the person who discovered the issue decide without involving the required owner or workflow.,"Explain that KleriQ supports requirement clarity; trained humans remain responsible for screening, quality, and final submission decisions.",D,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario;second_scenario
HIS-TRN-PLAT-001-Q08,HIS-TRN-PLAT-001,HIS-SOP-PLAT-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-PLAT-001 is working after rollout?,Correct platform adoption without confusing ProKred/KleriQ as internal-only tools.,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",A,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure;kpi
