questionId,trainingId,sopCode,questionNo,question_type,cognitive_level,prompt,optionA,optionB,optionC,optionD,correct_option,correct_answer_text,rationale,tags,auto_gradable,requires_human_review,points
HIS-TRN-TA-004-Q07,HIS-TRN-TA-004,HIS-SOP-TA-004,7,scenario_single_choice,scenario_application,Scenario: A candidate accepts verbally but has concerns about start date paperwork. What should happen next?,Keep the issue in a private note until the final outcome is known.,Let the person who discovered the issue decide without involving the required owner or workflow.,Continue using the old information because changing records mid-process creates extra work.,"Document the concern, coordinate onboarding/support, confirm final terms in writing, and track start readiness.",D,"Document the concern, coordinate onboarding/support, confirm final terms in writing, and track start readiness.","The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-TA-004-Q08,HIS-TRN-TA-004,HIS-SOP-TA-004,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-TA-004 is working after rollout?,Improved interview-to-offer and offer-to-start conversion with fewer missed updates.,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",A,Improved interview-to-offer and offer-to-start conversion with fewer missed updates.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-HC-001-Q01,HIS-TRN-HC-001,HIS-SOP-HC-001,1,single_choice,understanding,"For HIS-SOP-HC-001 (healthcare credential readiness), what is the primary business reason the SOP exists?",To collect healthcare documents only after the client selects the candidate.,To treat all healthcare roles as having the same credential packet requirements.,"Ensures healthcare candidates are credential-aware and packet-ready for roles requiring licenses, certifications, IDs, skills checklists, and program documents.",To submit healthcare candidates first and resolve license/certification gaps during onboarding.,C,"Ensures healthcare candidates are credential-aware and packet-ready for roles requiring licenses, certifications, IDs, skills checklists, and program documents.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-HC-001-Q02,HIS-TRN-HC-001,HIS-SOP-HC-001,2,single_choice,application,"Before preparing a healthcare submission packet is treated as ready under HIS-SOP-HC-001, which control is required?","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,"Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Role-specific licenses, certifications, IDs, skills checklist, expiration dates, and secure document status must be verified before packet submission.",D,"Role-specific licenses, certifications, IDs, skills checklist, expiration dates, and secure document status must be verified before packet submission.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-HC-001-Q03,HIS-TRN-HC-001,HIS-SOP-HC-001,3,single_choice,application,Which record best proves HIS-SOP-HC-001 was followed for preparing a healthcare submission packet?,"Credential checklist, expiration dates, document status, ProKred/packet progress, missing items, and compliance notes.",A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"A generic completion message that does not include evidence, owner, or next step.",A,"Credential checklist, expiration dates, document status, ProKred/packet progress, missing items, and compliance notes.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-HC-001-Q04,HIS-TRN-HC-001,HIS-SOP-HC-001,4,scenario_single_choice,scenario_application,Scenario: An RN candidate has a resume and license number but BLS expiration is unclear. What is the best response?,Treat the issue as resolved if a verbal confirmation was received.,Request/verify BLS details through the approved secure workflow and mark packet status pending until resolved.,Move forward quickly and document the exception only if a problem occurs.,Ask the team to handle it informally because the situation is time-sensitive.,B,Request/verify BLS details through the approved secure workflow and mark packet status pending until resolved.,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-HC-001-Q05,HIS-TRN-HC-001,HIS-SOP-HC-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-HC-001?,Assuming an active license alone proves the full credential packet is submission-ready.,Treating missing BLS/ACLS or state-specific documents as onboarding issues rather than submission risks.,Treating healthcare credential packet readiness as an onboarding issue rather than a submission-quality and compliance control.,Using candidate screenshots as proof without checking whether the program accepts that document format.,C,Treating healthcare credential packet readiness as an onboarding issue rather than a submission-quality and compliance control.,"The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-HC-001-Q06,HIS-TRN-HC-001,HIS-SOP-HC-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-HC-001?,Any person can close it without review if the outcome looks positive.,"Only the newest team member working the task, because they are closest to the work.",No assigned owner is needed if the team discusses it in a meeting.,Healthcare recruiter gathers; compliance/lead reviews packet completeness for applicable roles.,D,Healthcare recruiter gathers; compliance/lead reviews packet completeness for applicable roles.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-HC-001-Q07,HIS-TRN-HC-001,HIS-SOP-HC-001,7,scenario_single_choice,scenario_application,Scenario: A candidate sends IDs and certifications through an unsafe personal channel. What should happen next?,Move the process to the approved secure collection channel and avoid storing or forwarding documents casually.,Continue using the old information because changing records mid-process creates extra work.,Keep the issue in a private note until the final outcome is known.,Let the person who discovered the issue decide without involving the required owner or workflow.,A,Move the process to the approved secure collection channel and avoid storing or forwarding documents casually.,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-HC-001-Q08,HIS-TRN-HC-001,HIS-SOP-HC-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-HC-001 is working after rollout?,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",95%+ healthcare credential packet completeness for applicable submissions.,"The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",B,95%+ healthcare credential packet completeness for applicable submissions.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-IT-001-Q01,HIS-TRN-IT-001,HIS-SOP-IT-001,1,single_choice,understanding,"For HIS-SOP-IT-001 (IT staffing delivery), what is the primary business reason the SOP exists?",To submit IT candidates based mainly on keyword matches without validating technical fit.,To let candidates self-rate skills without recruiter screening or evidence from project history.,"To use the same screening depth for every IT role regardless of seniority, client, or tech stack.","Provides consistent IT role intake, technical screening, candidate positioning, rate alignment, and submission governance.",D,"Provides consistent IT role intake, technical screening, candidate positioning, rate alignment, and submission governance.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-IT-001-Q02,HIS-TRN-IT-001,HIS-SOP-IT-001,2,single_choice,application,"Before screening an IT candidate is treated as ready under HIS-SOP-IT-001, which control is required?","Tech stack, domain fit, seniority, work authorization, availability, rate, resume evidence, and submission narrative must be validated.","Proceed if the candidate/client seems urgent, even if required records are not complete.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",Use the most recent email or chat thread as the only working standard.,A,"Tech stack, domain fit, seniority, work authorization, availability, rate, resume evidence, and submission narrative must be validated.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-IT-001-Q03,HIS-TRN-IT-001,HIS-SOP-IT-001,3,single_choice,application,Which record best proves HIS-SOP-IT-001 was followed for screening an IT candidate?,"A generic completion message that does not include evidence, owner, or next step.","Technical screen notes, must-have skill evidence, work authorization handling, rate/availability, and submission narrative.",A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,B,"Technical screen notes, must-have skill evidence, work authorization handling, rate/availability, and submission narrative.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-IT-001-Q04,HIS-TRN-IT-001,HIS-SOP-IT-001,4,scenario_single_choice,scenario_application,"Scenario: A candidate lists React and AWS, but cannot explain recent hands-on project work. What is the best response?",Treat the issue as resolved if a verbal confirmation was received.,Ask the team to handle it informally because the situation is time-sensitive.,Document the gap and avoid positioning the candidate as a strong hands-on match unless evidence supports it.,Move forward quickly and document the exception only if a problem occurs.,C,Document the gap and avoid positioning the candidate as a strong hands-on match unless evidence supports it.,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-IT-001-Q05,HIS-TRN-IT-001,HIS-SOP-IT-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-IT-001?,Assuming keyword overlap means technical match even when recent hands-on experience is unclear.,Ignoring work authorization or location constraints until after the technical interview.,Treating a candidate’s preferred tool stack as equivalent to the client’s required production experience.,"Treating keyword match as enough for IT submission without validating technical depth, recency, authorization, and role fit.",D,"Treating keyword match as enough for IT submission without validating technical depth, recency, authorization, and role fit.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-IT-001-Q06,HIS-TRN-IT-001,HIS-SOP-IT-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-IT-001?,IT recruiter validates facts; senior/manager reviews complex technical fit or rate risk.,Any person can close it without review if the outcome looks positive.,"Only the newest team member working the task, because they are closest to the work.",No assigned owner is needed if the team discusses it in a meeting.,A,IT recruiter validates facts; senior/manager reviews complex technical fit or rate risk.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-IT-001-Q07,HIS-TRN-IT-001,HIS-SOP-IT-001,7,scenario_single_choice,scenario_application,"Scenario: A client requires onsite work in California, but the candidate is remote-only. What should happen next?",Let the person who discovered the issue decide without involving the required owner or workflow.,Do not submit as aligned; clarify flexibility or route the candidate to a better-fit role.,Keep the issue in a private note until the final outcome is known.,Continue using the old information because changing records mid-process creates extra work.,B,Do not submit as aligned; clarify flexibility or route the candidate to a better-fit role.,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-IT-001-Q08,HIS-TRN-IT-001,HIS-SOP-IT-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-IT-001 is working after rollout?,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Better technical fit, fewer weak resumes, and improved submission-to-interview conversion.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.",C,"Better technical fit, fewer weak resumes, and improved submission-to-interview conversion.","The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-ENG-001-Q01,HIS-TRN-ENG-001,HIS-SOP-ENG-001,1,single_choice,understanding,"For HIS-SOP-ENG-001 (engineering/professional services delivery), what is the primary business reason the SOP exists?","Extends delivery discipline beyond healthcare and IT into engineering, professional services, finance, admin, operations, and other specialized roles.",To handle engineering and professional services roles using the same logic as healthcare credentialing.,To source specialized business roles without clarifying vertical-specific success factors.,To treat professional services submissions as resume forwarding rather than evidence-backed fit.,A,"Extends delivery discipline beyond healthcare and IT into engineering, professional services, finance, admin, operations, and other specialized roles.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-ENG-001-Q02,HIS-TRN-ENG-001,HIS-SOP-ENG-001,2,single_choice,application,"Before working non-healthcare and non-IT professional roles is treated as ready under HIS-SOP-ENG-001, which control is required?",Use the most recent email or chat thread as the only working standard.,"Vertical context, must-haves, licenses/certs/portfolio needs, professional evidence, and role-specific screening must be captured.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.",B,"Vertical context, must-haves, licenses/certs/portfolio needs, professional evidence, and role-specific screening must be captured.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-ENG-001-Q03,HIS-TRN-ENG-001,HIS-SOP-ENG-001,3,single_choice,application,Which record best proves HIS-SOP-ENG-001 was followed for working non-healthcare and non-IT professional roles?,"A generic completion message that does not include evidence, owner, or next step.",A verbal update in the daily standup with no system entry.,"Vertical context notes, qualification evidence, required credential/portfolio status, and screening summary.",A personal note or spreadsheet maintained by one team member only.,C,"Vertical context notes, qualification evidence, required credential/portfolio status, and screening summary.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-ENG-001-Q04,HIS-TRN-ENG-001,HIS-SOP-ENG-001,4,scenario_single_choice,scenario_application,Scenario: A recruiter treats a finance operations role like a generic admin role and ignores domain experience. What is the best response?,Ask the team to handle it informally because the situation is time-sensitive.,Move forward quickly and document the exception only if a problem occurs.,Treat the issue as resolved if a verbal confirmation was received.,Revisit the vertical context and screen for role-specific evidence before sourcing or submission.,D,Revisit the vertical context and screen for role-specific evidence before sourcing or submission.,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-ENG-001-Q05,HIS-TRN-ENG-001,HIS-SOP-ENG-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-ENG-001?,Using generic staffing screening for engineering/professional roles without validating vertical-specific evidence and client success factors.,"Assuming an engineering/professional title match is enough without validating domain, project, and deliverable context.",Using healthcare or IT screening templates without adapting them to the specialized vertical.,Submitting professional services candidates without clarifying client-facing expectations or portfolio evidence.,A,Using generic staffing screening for engineering/professional roles without validating vertical-specific evidence and client success factors.,"The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-ENG-001-Q06,HIS-TRN-ENG-001,HIS-SOP-ENG-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-ENG-001?,"Only the newest team member working the task, because they are closest to the work.",Recruiter validates domain evidence; manager confirms vertical-specific delivery standard.,Any person can close it without review if the outcome looks positive.,No assigned owner is needed if the team discusses it in a meeting.,B,Recruiter validates domain evidence; manager confirms vertical-specific delivery standard.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-ENG-001-Q07,HIS-TRN-ENG-001,HIS-SOP-ENG-001,7,scenario_single_choice,scenario_application,"Scenario: An engineering role requires a license/portfolio, but the candidate only provided a generic resume. What should happen next?",Let the person who discovered the issue decide without involving the required owner or workflow.,Continue using the old information because changing records mid-process creates extra work.,Request the required evidence or mark the candidate not submission-ready.,Keep the issue in a private note until the final outcome is known.,C,Request the required evidence or mark the candidate not submission-ready.,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-ENG-001-Q08,HIS-TRN-ENG-001,HIS-SOP-ENG-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-ENG-001 is working after rollout?,"The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.","Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",Consistent delivery standards across Engineering and Professional Services roles.,D,Consistent delivery standards across Engineering and Professional Services roles.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-SALES-001-Q01,HIS-TRN-SALES-001,HIS-SOP-SALES-001,1,single_choice,understanding,"For HIS-SOP-SALES-001 (client/MSP/VMS and rate governance), what is the primary business reason the SOP exists?",To let account managers handle rate or client escalations informally when the relationship is strong.,"Controls client communication, MSP/VMS rules, rate/margin decisions, escalations, submission formats, and feedback loops.",To prioritize client responsiveness over documented margin and submission rules.,To treat MSP/VMS instructions as flexible unless the client complains.,B,"Controls client communication, MSP/VMS rules, rate/margin decisions, escalations, submission formats, and feedback loops.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-SALES-001-Q02,HIS-TRN-SALES-001,HIS-SOP-SALES-001,2,single_choice,application,"Before managing client or MSP/VMS requirements is treated as ready under HIS-SOP-SALES-001, which control is required?","Proceed if the candidate/client seems urgent, even if required records are not complete.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Client requirements, MSP/VMS rules, rate/margin guardrails, authorized communication channel, escalation path, and feedback loop must be documented.",Use the most recent email or chat thread as the only working standard.,C,"Client requirements, MSP/VMS rules, rate/margin guardrails, authorized communication channel, escalation path, and feedback loop must be documented.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-SALES-001-Q03,HIS-TRN-SALES-001,HIS-SOP-SALES-001,3,single_choice,application,Which record best proves HIS-SOP-SALES-001 was followed for managing client or MSP/VMS requirements?,"A generic completion message that does not include evidence, owner, or next step.",A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"Client requirement notes, VMS rules, rate/margin approval, communication channel, escalation log, and feedback history.",D,"Client requirement notes, VMS rules, rate/margin approval, communication channel, escalation log, and feedback history.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-SALES-001-Q04,HIS-TRN-SALES-001,HIS-SOP-SALES-001,4,scenario_single_choice,scenario_application,Scenario: A recruiter wants to contact a client hiring manager directly although the MSP requires all communication through VMS. What is the best response?,Follow MSP/VMS communication rules and escalate through the approved account channel.,Move forward quickly and document the exception only if a problem occurs.,Treat the issue as resolved if a verbal confirmation was received.,Ask the team to handle it informally because the situation is time-sensitive.,A,Follow MSP/VMS communication rules and escalate through the approved account channel.,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-SALES-001-Q05,HIS-TRN-SALES-001,HIS-SOP-SALES-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-SALES-001?,"Assuming a verbal client update is enough when rate, submission, or escalation details changed.","Handling client, MSP/VMS, rate, or escalation changes verbally without updating the approved client communication and governance record.",Sharing client exceptions directly with recruiters before margin or approval guardrails are documented.,Treating MSP/VMS communication rules as optional for long-standing client relationships.,B,"Handling client, MSP/VMS, rate, or escalation changes verbally without updating the approved client communication and governance record.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-SALES-001-Q06,HIS-TRN-SALES-001,HIS-SOP-SALES-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-SALES-001?,Any person can close it without review if the outcome looks positive.,"Only the newest team member working the task, because they are closest to the work.",AM/Sales owns client/rate governance; delivery manager aligns recruiters.,No assigned owner is needed if the team discusses it in a meeting.,C,AM/Sales owns client/rate governance; delivery manager aligns recruiters.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-SALES-001-Q07,HIS-TRN-SALES-001,HIS-SOP-SALES-001,7,scenario_single_choice,scenario_application,Scenario: A client asks for a lower bill rate that may break margin. What should happen next?,Let the person who discovered the issue decide without involving the required owner or workflow.,Keep the issue in a private note until the final outcome is known.,Continue using the old information because changing records mid-process creates extra work.,Route the exception for approval and document the rate decision before committing.,D,Route the exception for approval and document the rate decision before committing.,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-SALES-001-Q08,HIS-TRN-SALES-001,HIS-SOP-SALES-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-SALES-001 is working after rollout?,100% rate/margin exceptions documented and fewer client communication gaps.,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","Most employees say in chat that they understand the SOP, but no workflow data is reviewed.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",A,100% rate/margin exceptions documented and fewer client communication gaps.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-BD-001-Q01,HIS-TRN-BD-001,HIS-SOP-BD-001,1,single_choice,understanding,"For HIS-SOP-BD-001 (business development and onboarding), what is the primary business reason the SOP exists?",To generate more outreach activity without standardizing client qualification and handoff.,"To move prospects to delivery before scope, terms, and onboarding expectations are clear.","Standardizes how Hire'in prospects new clients, qualifies opportunities, prepares proposals/RFPs, and hands new accounts to delivery.",To treat a positive prospect call as an active client without proposal or approval documentation.,C,"Standardizes how Hire'in prospects new clients, qualifies opportunities, prepares proposals/RFPs, and hands new accounts to delivery.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-BD-001-Q02,HIS-TRN-BD-001,HIS-SOP-BD-001,2,single_choice,application,"Before bringing in a new client opportunity is treated as ready under HIS-SOP-BD-001, which control is required?","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.","Proceed if the candidate/client seems urgent, even if required records are not complete.",Use the most recent email or chat thread as the only working standard.,"Prospect qualification, discovery, needs, proposal/RFP approval, commercial terms, and delivery handoff must be structured.",D,"Prospect qualification, discovery, needs, proposal/RFP approval, commercial terms, and delivery handoff must be structured.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-BD-001-Q03,HIS-TRN-BD-001,HIS-SOP-BD-001,3,single_choice,application,Which record best proves HIS-SOP-BD-001 was followed for bringing in a new client opportunity?,"Prospect profile, discovery notes, proposal/RFP status, approved terms, client onboarding checklist, and handoff notes.",A personal note or spreadsheet maintained by one team member only.,A verbal update in the daily standup with no system entry.,"A generic completion message that does not include evidence, owner, or next step.",A,"Prospect profile, discovery notes, proposal/RFP status, approved terms, client onboarding checklist, and handoff notes.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-BD-001-Q04,HIS-TRN-BD-001,HIS-SOP-BD-001,4,scenario_single_choice,scenario_application,Scenario: A prospect asks for immediate candidate profiles before terms or requirement details are confirmed. What is the best response?,Ask the team to handle it informally because the situation is time-sensitive.,"Complete discovery, confirm commercial path/terms, and align delivery handoff before sending profiles.",Treat the issue as resolved if a verbal confirmation was received.,Move forward quickly and document the exception only if a problem occurs.,B,"Complete discovery, confirm commercial path/terms, and align delivery handoff before sending profiles.","The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
HIS-TRN-BD-001-Q05,HIS-TRN-BD-001,HIS-SOP-BD-001,5,single_choice,analysis,What is the most realistic misunderstanding that would weaken HIS-SOP-BD-001?,Assuming a warm prospect is ready for delivery handoff before decision criteria and next steps are recorded.,Skipping client onboarding notes because the BD owner can brief delivery verbally.,"Treating a prospect conversation as ready for delivery handoff before qualification, proposal terms, and onboarding expectations are documented.","Using a proposal template without tailoring proof points, service scope, and commercial assumptions.",C,"Treating a prospect conversation as ready for delivery handoff before qualification, proposal terms, and onboarding expectations are documented.","The correct answer is the most direct misunderstanding that would break the SOP’s operating control. The distractors are plausible misunderstandings, but they are either narrower, secondary, or less central to this SOP.",misconception|analysis|module_specific,True,False,1
HIS-TRN-BD-001-Q06,HIS-TRN-BD-001,HIS-SOP-BD-001,6,single_choice,application,Who should own or verify the key control for HIS-SOP-BD-001?,No assigned owner is needed if the team discusses it in a meeting.,"Only the newest team member working the task, because they are closest to the work.",Any person can close it without review if the outcome looks positive.,BD/Sales owns prospecting and proposal; AM/Delivery owns handoff to execution.,D,BD/Sales owns prospecting and proposal; AM/Delivery owns handoff to execution.,Ownership must match the SOP’s operating responsibility so accountability does not disappear in remote work.,ownership|manager_control,True,False,1
HIS-TRN-BD-001-Q07,HIS-TRN-BD-001,HIS-SOP-BD-001,7,scenario_single_choice,scenario_application,Scenario: A proposal promises 24-hour turnaround without delivery validation. What should happen next?,Validate delivery capacity and approval before committing the SLA in writing.,Continue using the old information because changing records mid-process creates extra work.,Keep the issue in a private note until the final outcome is known.,Let the person who discovered the issue decide without involving the required owner or workflow.,A,Validate delivery capacity and approval before committing the SLA in writing.,"The scenario tests the second-level application of the SOP when work changes, conflicts, or becomes risky.",scenario|second_scenario,True,False,1
HIS-TRN-BD-001-Q08,HIS-TRN-BD-001,HIS-SOP-BD-001,8,single_choice,evaluation,Which evidence would best show that HIS-SOP-BD-001 is working after rollout?,"Most employees say in chat that they understand the SOP, but no workflow data is reviewed.",More qualified opportunities and smoother client onboarding to delivery.,"Managers remember discussing the SOP, but there is no KPI, record, or compliance evidence.","The SOP exists in a folder, even if training, acknowledgment, and audits are incomplete.",B,More qualified opportunities and smoother client onboarding to delivery.,"The success measure must connect the SOP to measurable adoption, quality, compliance, or business impact.",success_measure|kpi,True,False,1
HIS-TRN-MKT-001-Q01,HIS-TRN-MKT-001,HIS-SOP-MKT-001,1,single_choice,understanding,"For HIS-SOP-MKT-001 (marketing and lead generation), what is the primary business reason the SOP exists?",To let anyone publish brand content quickly when the post sounds positive for Hire’in.,"To focus only on social activity volume without checking audience, claims, approvals, or lead purpose.",To use candidate/client stories in marketing without verifying privacy and permission boundaries.,"Turns marketing into a delivery accelerator by standardizing brand voice, candidate attraction, client credibility, insights, content approvals, and lead generation.",D,"Turns marketing into a delivery accelerator by standardizing brand voice, candidate attraction, client credibility, insights, content approvals, and lead generation.",The correct answer describes the actual business outcome of this SOP. The other options are realistic but unsafe shortcuts or misunderstandings that would weaken the operating standard.,purpose|business_value,True,False,1
HIS-TRN-MKT-001-Q02,HIS-TRN-MKT-001,HIS-SOP-MKT-001,2,single_choice,application,"Before publishing staffing content or campaigns is treated as ready under HIS-SOP-MKT-001, which control is required?","Audience, message, claim basis, CTA, review/approval, publishing calendar, and lead routing must be documented.",Use the most recent email or chat thread as the only working standard.,"Proceed if the candidate/client seems urgent, even if required records are not complete.","Start execution once the manager gives a verbal go-ahead, then add missing fields at week end.",A,"Audience, message, claim basis, CTA, review/approval, publishing calendar, and lead routing must be documented.",Readiness requires the module-specific control to be completed and visible in the approved system.,required_control|readiness,True,False,1
HIS-TRN-MKT-001-Q03,HIS-TRN-MKT-001,HIS-SOP-MKT-001,3,single_choice,application,Which record best proves HIS-SOP-MKT-001 was followed for publishing staffing content or campaigns?,"A generic completion message that does not include evidence, owner, or next step.","Content brief, source/claim basis, approval status, CTA, publishing date, campaign owner, and lead handoff.",A verbal update in the daily standup with no system entry.,A personal note or spreadsheet maintained by one team member only.,B,"Content brief, source/claim basis, approval status, CTA, publishing date, campaign owner, and lead handoff.","The record must be specific enough for another team member or auditor to understand the action, status, and evidence.",documentation|system_record,True,False,1
HIS-TRN-MKT-001-Q04,HIS-TRN-MKT-001,HIS-SOP-MKT-001,4,scenario_single_choice,scenario_application,Scenario: A post claims Hire’in fills roles in hours without evidence or approval. What is the best response?,Move forward quickly and document the exception only if a problem occurs.,Ask the team to handle it informally because the situation is time-sensitive.,Revise the claim to evidence-supported language and route it through the content approval workflow.,Treat the issue as resolved if a verbal confirmation was received.,C,Revise the claim to evidence-supported language and route it through the content approval workflow.,"The best response applies the SOP control before the issue turns into a delivery, compliance, or communication failure.",scenario|edge_case,True,False,1
